DIM_TIME,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,,GEO_NAME_SHORT,RATE_PER_100000_N,RATE_PER_100000_NL,RATE_PER_100000_NU
2013,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,112,97,127
2014,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,109,95,123
2015,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,106,93,119
2016,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,100,91,110
2017,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,98,90,107
2018,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,95,88,103
2019,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,92,86,99
2020,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,90,84,96
2021,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,91,85,98
2022,914,WORLDBANKINCOMEGROUP,none,Upper-middle-income economies,95,87,102
